Production_Unit_Id,percentage_items_discarded
P188,27.33017377567141
P258,19.460500963391137
P986,52.42966751918159
P631,10.76923076923077
P675,59.176029962546814
P796,48.87640449438202
P411,43.84615384615385
P203,31.54121863799283
P348,19.239904988123516
P930,32.13751868460389
P961,26.6
P507,26.324786324786327
P801,28.680203045685282
P020,22.448979591836736
P224,18.91348088531187
P417,39.11882510013351
P071,52.66558966074314
P426,46.21212121212121
P557,24.713584288052374
P802,24.07809110629067
P591,9.660574412532636
P864,27.9874213836478
P306,27.372764786795052
P801,14.82889733840304
P203,2.8150134048257374
P125,26.268656716417908
P349,65.11627906976744
P104,41.013824884792626
P426,24.929178470254957
P024,32.12435233160622
P766,10.646387832699618
P279,19.25
P064,35.56618819776715
P406,6.954887218045112
P632,24.151696606786427
P443,29.723756906077348
P983,49.24731182795699
P657,14.910858995137763
P349,29.268292682926827
P669,22.384937238493723
P714,19.80582524271845
P544,16.040955631399317
P772,25.13157894736842
P182,26.916524701873932
P237,13.29639889196676
P924,47.59615384615385
P136,16.434540389972145
P498,26.640159045725646
P964,31.859756097560975
P529,23.703703703703706
P632,23.844282238442823
P702,41.01040118870728
P111,11.267605633802818
P954,14.240506329113925
P104,68.45124282982792
P416,14.195183776932826
P004,9.141274238227147
P729,15.288220551378446
P053,54.054054054054056
P946,26.173285198555956
P001,36.206896551724135
P135,6.986027944111776
P216,22.762645914396888
P135,7.894736842105263
P768,28.838174273858918
P501,18.6084142394822
P336,55.53235908141963
P258,15.69620253164557
P062,30.065359477124183
P838,48.205128205128204
P816,36.00917431192661
P468,25.958702064896755
P001,22.966507177033492
P654,17.898832684824903
P720,35.22727272727273
P046,24.383164005805515
P409,46.52509652509653
P789,15.141955835962145
P348,10.096818810511756
P694,27.322404371584703
P152,32.299270072992705
P175,29.86111111111111
P996,34.690265486725664
P835,27.734375
P327,32.8125
P449,33.12101910828025
P766,15.887850467289718
P200,13.556338028169016
P534,26.719056974459725
P594,60.37735849056604
P374,54.43298969072165
P789,10.27027027027027
P987,15.370705244122965
P580,7.8085642317380355
P685,24.564796905222437
P047,32.1353065539112
P886,17.38035264483627
P964,23.70820668693009
P908,28.236914600550968
P182,6.8807339449541285
P180,20.070422535211268
P175,14.700544464609798
P450,46.47435897435898
P404,21.23015873015873
P732,22.910662824207492
P406,15.128593040847202
P234,15.358744394618833
P843,29.45205479452055
P856,14.629948364888124
P076,35.046728971962615
P104,13.390313390313391
P830,25.915492957746476
P410,21.12676056338028
P767,23.56687898089172
P339,46.52509652509653
P374,32.41379310344827
P734,24.817518248175183
P867,34.30962343096235
P729,67.06827309236948
P383,10.070671378091872
P498,32.299741602067186
P595,44.419642857142854
P316,15.955056179775282
P688,23.833333333333336
P930,25.742574257425744
P233,53.39366515837104
P652,35.49060542797495
P082,41.333333333333336
P058,21.099554234769688
P143,18.857142857142858
P790,52.46636771300448
P255,22.786304604486425
P672,44.283121597096184
P229,34.626865671641795
P344,10.683229813664596
P590,28.544776119402986
P094,29.667812142038947
P812,14.80637813211845
P526,13.069908814589665
P125,25.34246575342466
P868,39.79933110367893
P509,23.393574297188753
P403,39.285714285714285
P672,40.70680628272251
P270,4.186046511627907
P872,25.19480519480519
P930,27.27272727272727
P767,40.73033707865169
P870,10.43115438108484
P711,19.482758620689655
P911,27.329974811083126
P269,30.460624071322435
P250,24.552845528455283
P909,56.666666666666664
P289,27.386934673366838
P283,26.649076517150394
P955,36.11111111111111
P909,42.296918767507
P250,20.674157303370784
P073,31.654676258992804
P492,12.218963831867057
P534,39.913544668587896
P548,25.971370143149286
P930,40.667678300455236
P371,13.866666666666665
P452,35.49295774647888
P469,43.75
P433,35.31353135313531
P731,22.22222222222222
P489,24.633431085043988
P129,16.55773420479303
P537,18.654822335025383
P374,27.941176470588236
P020,37.029288702928866
P046,25.667655786350146
P646,35.526315789473685
P542,60.862619808306704
P663,22.331460674157302
P534,25.0
P288,35.991379310344826
P191,23.59375
P891,35.30927835051546
P560,14.669652855543113
P858,15.09433962264151
P607,38.61892583120204
P489,14.571428571428571
P576,47.93103448275862
P069,47.02842377260982
P167,33.7696335078534
P407,17.919999999999998
P465,11.033274956217163
P561,28.404669260700388
P938,17.857142857142858
P121,40.0
P597,61.31498470948012
P639,13.248407643312103
P907,36.38676844783715
P044,22.686567164179106
P909,19.032258064516128
P796,14.96881496881497
P157,21.91358024691358
P967,44.565217391304344
P041,19.12878787878788
